Project_Name,Project_Acronym,Program,Tier,Endpoint_Name,URL,Endpoint_Query,Validation_Text,Private_Location,Slack_Channel,Alert_Email,Monitored_Resources,Browser_Query
Populatioin Sciences Data Commons,Popsci,CRDC,prod,Portal,https://populationsciences.datacommons.cancer.gov/,,Population,TRUE,Expand_Data_Commons-crdc-prod-popsci,,,
Populatioin Sciences Data Commons,Popsci,CRDC,prod,API-OS,https://populationsciences.datacommons.cancer.gov/v1/public-graphql/,"var assert = require('assert');

$http.post('https://populationsciences.datacommons.cancer.gov/v1/graphql/',
  {
    json: {
    query: 'query studyFiles($data_file_uuid: [String]){studyFiles(data_file_uuid: $data_file_uuid){data_file_uuid}}',
    variables: {}
    }
  },

  function (err, response, body) {

    if (err) {
        throw new Error(err);
    }

    console.log('Response:', body);
    console.log('Response:', response.statusCode);
    
    assert.equal(response.statusCode, 200, 'Expected a 200 OK response');    
    assert.ok('studyFiles' in body.data);

  }
);",,TRUE,Expand_Data_Commons-crdc-prod-popsci,,,
cBioPortal for Cancer Genomics,cbioportal,CCDI,Prod,Portal,https://cbioportal.ccdi.cancer.gov,,Datasets,TRUE,Expand_Data_Commons-ccdi-prod-cbio,,,
cBioPortal for Cancer Genomics,cbioportal,CCDI,Prod,Content,https://cbioportal-content.ccdi.cancer.gov,,,TRUE,Expand_Data_Commons-ccdi-prod-cbio,,,"const assert = require('assert');

const CONFIG = {
    URL: 'https://cbioportal-content.ccdi.cancer.gov/',
    XPATH: ""//h2[contains(text(), 'Visualization')]"",
    EXPECTED_TEXT: 'visualization'
};

async function runMonitor() {
    console.log(`Starting monitor for: ${CONFIG.URL}`);
    await $browser.get(CONFIG.URL);
    
    console.log(`Waiting for element: ${CONFIG.XPATH}`);
    const element = await $browser.waitForAndFindElement($driver.By.xpath(CONFIG.XPATH), 20000);
    
    const actualText = await element.getText();
    console.log(`Found text: ${actualText}`);
    
    assert.ok(
        actualText.toLowerCase().includes(CONFIG.EXPECTED_TEXT), 
        `Verification Failed: Expected ${CONFIG.EXPECTED_TEXT} but found ${actualText}`
    );
}

runMonitor().catch(err => {
    console.error('Monitor Failed:', err.message);
    throw err;
});"
cBioPortal for Cancer Genomics,cbioportal,CCDI,Prod,About,https://cbioportal-about.ccdi.cancer.gov,"var assert = require('assert');

$http.get('https://cbioportal-about.ccdi.cancer.gov/version.json',

  function (err, response, body) {

    if (err) {
        throw new Error(err);
    }

    console.log('Response:', body);
    console.log('Response:', response.statusCode);
    
    assert.equal(response.statusCode, 200, 'Expected a 200 OK response.');

    assert.ok('version' in body, 'Expected object to have version key');
  }
);",,TRUE,Expand_Data_Commons-ccdi-prod-cbio,,,
cBioPortal for Cancer Genomics,cbioportal,CCDI,Prod,API,https://cbioportal-api.ccdi.cancer.gov,"var assert = require('assert');

$http.get('https://cbioportal-api.ccdi.cancer.gov/api/cancer-types',

  function (err, response, body) {

    if (err) {
        throw new Error(err);
    }

    console.log('Response:', body);
    console.log('Response:', response.statusCode);
    
    assert.equal(response.statusCode, 200, 'Expected a 200 OK response.');    
    assert.ok(Array.isArray(body), 'Expected response body to be an array.');

    const firstObj = body[0];
    assert.ok('cancerTypeId' in firstObj, 'Expected object to have cancerTypeId key');

  }
);",,TRUE,Expand_Data_Commons-ccdi-prod-cbio,,,
cBioPortal for Cancer Genomics,cbioportal,CCDI,Dev,Portal,https://cbioportal-dev.ccdi.cancer.gov,,Datasets,TRUE,Expand_Data_Commons-ccdi-subprod-cbio,,,
cBioPortal for Cancer Genomics,cbioportal,CCDI,Dev,Content,https://cbioportal-dev-content.ccdi.cancer.gov,,,TRUE,Expand_Data_Commons-ccdi-subprod-cbio,,,"const assert = require('assert');

const CONFIG = {
    URL: 'https://cbioportal-dev-content.ccdi.cancer.gov/',
    XPATH: ""//h2[contains(text(), 'Visualization')]"",
    EXPECTED_TEXT: 'visualization'
};

async function runMonitor() {
    console.log(`Starting monitor for: ${CONFIG.URL}`);
    await $browser.get(CONFIG.URL);
    
    console.log(`Waiting for element: ${CONFIG.XPATH}`);
    const element = await $browser.waitForAndFindElement($driver.By.xpath(CONFIG.XPATH), 20000);
    
    const actualText = await element.getText();
    console.log(`Found text: ${actualText}`);
    
    assert.ok(
        actualText.toLowerCase().includes(CONFIG.EXPECTED_TEXT), 
        `Verification Failed: Expected ${CONFIG.EXPECTED_TEXT} but found ${actualText}`
    );
}

runMonitor().catch(err => {
    console.error('Monitor Failed:', err.message);
    throw err;
});"
cBioPortal for Cancer Genomics,cbioportal,CCDI,Dev,About,https://cbioportal-dev-about.ccdi.cancer.gov,"var assert = require('assert');

$http.get('https://cbioportal-dev-about.ccdi.cancer.gov/version.json',

  function (err, response, body) {

    if (err) {
        throw new Error(err);
    }

    console.log('Response:', body);
    console.log('Response:', response.statusCode);
    
    assert.equal(response.statusCode, 200, 'Expected a 200 OK response.');

    assert.ok('version' in body, 'Expected object to have version key');
  }
);",,TRUE,Expand_Data_Commons-ccdi-subprod-cbio,,,
cBioPortal for Cancer Genomics,cbioportal,CCDI,Dev,API,https://cbioportal-api-dev.ccdi.cancer.gov,"var assert = require('assert');

$http.get('https://cbioportal-api-dev.ccdi.cancer.gov/api/cancer-types',

  function (err, response, body) {

    if (err) {
        throw new Error(err);
    }

    console.log('Response:', body);
    console.log('Response:', response.statusCode);
    
    assert.equal(response.statusCode, 200, 'Expected a 200 OK response.');    
    assert.ok(Array.isArray(body), 'Expected response body to be an array.');

    const firstObj = body[0];
    assert.ok('cancerTypeId' in firstObj, 'Expected object to have cancerTypeId key');
  }
);",,TRUE,Expand_Data_Commons-ccdi-subprod-cbio,,,
